landmark,camera_abbrev,direction,lat,long,x_pixel,y_pixel,x_res,y_res,intersection,distance,tile
Palomar Observatory,hp,west,33.35629,-116.8648,620,665,2048,1536,0,0.7481204998105437,11
right bush,hp,east,33.36219066,-116.8348973,1825,1125,2048,1536,0,0.09199613767949616,35
left bush,hp,north,33.36347435,-116.8364847,412,1203,2048,1536,0,0.05074387486475855,28
red mountain water resevoir - south tip,rm,south,33.39434215,-117.1855564,630,1420,3072,2048,0,0.718081148885934,19
red mountain resevoir - north tip,rm,east,33.39826,-117.18636,2480,1665,3072,2048,0,0.2824355037930598,34
red mountain water storage large,rm,east,33.40000899,-117.1864264,1890,1680,3072,2048,0,0.08795642041470925,32
microwave tower,rm,south,33.400219,-117.190897,2420,1730,3072,2048,0,0.0646043416150771,34
red mountain water storage small,rm,west,33.400324,-117.192417,1100,1790,3072,2048,0,0.052928858191074624,39
red mountain north access road intersection,rm,north,33.40370301,-117.1877489,2690,1422,3072,2048,0,0.3228004298692029,25
target - san clemente,sclm,north,33.46403242,-117.6055052,642,1183,3072,2048,1,3.626504115277415,19
target - san clemente,sjh,south,33.46403242,-117.6055052,1681,1152,3072,2048,1,4.326559429707026,22
E in hill,sjh,south,33.47968683,-117.6093276,1971,1153,3072,2048,0,2.585866053748273,23
microwave tower east - san juan hills,sjh,east,33.50264178,-117.6017928,2005,1215,3072,2048,0,0.0333885467416981,23
Rancho Mission Viejo,sjh,west,33.51973819,-117.6310328,2553,1189,3072,2048,0,1.8676481349133376,25
corner of paths,signal,south,33.60116173,-117.8154609,2800,1180,3072,2048,0,0.45284307620157677,26
handhole,signal,south,33.60500187,-117.8111833,2873,1433,3072,2048,0,0.02583840079341259,26
microwave tower west - signal peak,signal,west,33.60554784,-117.8113901,2623,1427,3072,2048,0,0.03487077716161129,25
lake mission viejo - center,stgo,south,33.6310585,-117.6436993,3005,1200,3072,2048,0,8.908279321977258,26
lake mission viejo - center,stgo,west,33.6310585,-117.6436993,630,1270,3072,2048,0,8.908279321977258,19
office of technology alliances,signal,north,33.65064145,-117.8380223,795,1161,3072,2048,0,5.049058359131611,20
southeast corner of tustin blimp hangar #2,signal,north,33.70234758,-117.822333,1412,1105,3072,2048,0,10.798525633046461,13
communication tower - south far,stgo,south,33.70971889,-117.5349005,2345,1311,3072,2048,0,0.16163094472643247,24
communication tower - southeast,stgo,east,33.71083777,-117.5334783,2555,1733,3072,2048,0,0.03721699335504496,34
communication tower - east far,stgo,east,33.71154823,-117.5310809,1415,1290,3072,2048,0,0.04178266334765313,22
communication tower - east near,stgo,east,33.7115553,-117.5331211,915,1400,3072,2048,0,0.042568812565268226,20
communications tower - east,stgo,north,33.71184523,-117.5336569,2685,1605,3072,2048,0,0.07480760217744549,34
West side of Frank R. Bowerman landfill,signal,north,33.72720048,-117.7086035,2386,1068,3072,2048,0,13.562045842582233,16
lake matthews - southwest tip,stgo,north,33.82992523,-117.4569443,2620,1210,3072,2048,0,13.204722676153274,25
69bravo building - lower,69bravo,east,34.07293223,-118.6257264,2565,1655,3072,2048,0,0.18901273323327974,34
69bravo building - lower,69bravo,south,34.07293223,-118.6257264,210,1640,3072,2048,0,0.18901273323327974,27
cylinder building - middle,69bravo,east,34.07434594,-118.6258528,1600,1470,3072,2048,0,0.03181513635625532,31
cylinder building - close,69bravo,east,34.07437057,-118.6266663,1741,1613,3072,2048,0,0.029076401530535038,32
cylinder building - far,69bravo,east,34.07462076,-118.6251,1371,1433,3072,2048,0,0.0012565044065144112,22
69braco helipad,69bravo,north,34.07506251,-118.6275065,2385,1343,3072,2048,0,0.047863922287064285,25
blue building,69bravo,west,34.07545211,-118.6287551,2700,1210,3072,2048,0,0.09118552554588712,25
69bravo circle building,69bravo,north,34.07823337,-118.6289516,933,1061,3072,2048,0,0.40044795439547004,11
kwhy tower,wilson,south,34.21279121,-118.0624802,1943,1290,3072,2048,0,1.3019053578986728,23
tower south,wilson,west,34.2238728,-118.0631837,1203,1233,3072,2048,0,0.06968706873309856,21
observatory tower,wilson,south,34.224021,-118.0585861,1135,1995,3072,2048,0,0.0532079578429702,39
small observatory building,wilson,east,34.22426202,-118.0578438,2160,1850,3072,2048,0,0.026407719604988132,42
center tower,wilson,west,34.22545982,-118.0653675,1790,1195,3072,2048,0,0.10678174749827128,23
chara array,wilson,north,34.22587356,-118.057203,2805,1480,3072,2048,0,0.15278759999410502,35
chara array,wilson,east,34.22587356,-118.057203,190,1375,3072,2048,0,0.15278759999410502,18
grey building,wilson,north,34.22634243,-118.0589444,1360,1520,3072,2048,0,0.2049236372641671,30
red white tower - north,wilson,west,34.23191981,-118.0713233,2462,1100,3072,2048,0,0.8251008538570157,16
santa ynez reservoir,dwpgm,south,34.07207823,-118.5679001,2738,1321,3072,2048,1,1.5930630037844005,26
santa ynez reservoir,dwpgm,west,34.07207823,-118.5679001,220,1333,3072,2048,1,1.5930630037844005,18
santa monica pier,dwpgm,south,34.00756607,-118.4997572,565,1145,3072,2048,1,8.766497811022692,19
santa monica pier,69bravo,east,34.00756607,-118.4997572,2266,1173,3072,2048,1,7.4574081389908935,24
palomar medical center,ch,east,33.12227141,-117.1214827,819,1204,3072,2048,1,1.2947755293542569,20
palomar medical center,rdd,north,33.12227141,-117.1214827,1516,1064,3072,2048,1,3.162084519273097,13
veritiv distribution warehouse,ch,east,33.10810753,-117.1155551,1665,1208,3072,2048,1,0.28017824366473054,22
veritiv distribution warehouse,rdd,north,33.10810753,-117.1155551,2078,1140,3072,2048,1,1.5871307462541098,24
mt laguna water tower,mlo,north,32.87597465,-116.4149882,1966,1055,3072,2048,1,4.036454801230691,14
left observatory,mlo,north,32.84083042,-116.4270603,880,1290,3072,2048,0,0.12858932663496353,20
tree cluster end,mg,west,33.1820958,-116.7813144,880,1388,3072,2048,1,0.7518833413266895,20
tree cluster end,bm,north,33.1820958,-116.7813144,2800,1195,3072,2048,1,2.4650292481077978,26
