landmark,camera_abbrev,direction,lat,long,x_pixel,y_pixel,x_res,y_res,intersection,distance,tile
south building - east corner,lp,south,32.700898,-116.765556,2970,1635,3072,2048,0,0.115842638,35
comms building,lp,west,32.70091925,-116.7656275,589,1633,3072,2048,0,0.119960898,28
communication tower - east,lp,east,32.701979,-116.763644,640,1690,3072,2048,0,0.09994905,28
communication tower - north,lp,north,32.702471,-116.764071,2200,1570,3072,2048,0,0.115503648,33
end of destiny mountain ct,sm,north,32.71389188,-116.9634166,118,1367,3072,2048,0,3.167271721,18
spring valley water treatment - center,sm,north,32.72810227,-116.9472257,1133,1365,3072,2048,0,3.619590106,21
outlet on road,pi,west,32.7336111,-116.57993,857,1592,3072,2048,0,0.235080419,29
tree in path,pi,north,32.7407794,-116.5771568,1741,1331,3072,2048,0,0.69805828,23
mt laguna water tower,ml,south,32.87597465,-116.4149882,765,637,2048,1536,1,1.89215778,12
microwave tower,ml,east,32.89201797,-116.4195892,1558,933,2048,1536,0,0.110105368,24
left corner of building,ml,east,32.8922397,-116.4199911,1288,973,2048,1536,0,0.068437509,23
road bend,cp,south,32.9180867,-116.6312484,2842,1402,3072,2048,0,3.900948109,26
road fork,cp,west,32.94826555,-116.6380082,1665,1579,3072,2048,0,2.931014341,31
road turn near paso picacho campground,cp,east,32.9565083,-116.5836456,663,1427,3072,2048,0,2.421427978,19
small mountain,ml,north,32.96181258,-116.4052869,1421,988,2048,1536,0,7.862979978,24
mt carmel high school,bl,south,32.96733,-117.12188,1840,875,2048,1536,0,1.645434937,26
end of oviedo st,bl,west,32.97368495,-117.1158788,1355,960,2048,1536,0,0.86161391,23
butterfield ranch east,ml,north,33.00424518,-116.3317522,1934,862,2048,1536,0,14.96250167,26
microwave tower - black mountain east,bl,east,32.981623,-117.115867,750,1200,2048,1536,0,0.061569936,30
lake cuyamaca - east,cp,north,32.986019,-116.579601,2190,1250,3072,2048,0,5.071853365,24
moutain road cross,ml,north,32.98048595,-116.4390748,964,934,2048,1536,0,9.954752643,22
cylinder building,wc,east,33.00557551,-116.9626569,1988,1654,3072,2048,0,0.85202138,32
del norte high school,bl,north,33.01449754,-117.1214591,881,357,2048,1536,0,3.707565828,3
mt woodson basin - center,wc,north,33.015435,-116.966807,2100,1800,3072,2048,0,0.840186041,42
white building,wc,north,33.02181953,-116.9839834,213,1493,3072,2048,0,1.893672499,27
lake ramona southwest tip,wc,west,33.02398978,-116.9973599,2274,1221,3072,2048,0,2.987670615,24
16615 highland valley rd,wc,north,33.03039957,-116.9791697,804,1409,3072,2048,0,2.526812121,20
Ramona Airport South Tip,wc,east,33.04017329,-116.9233331,198,1252,3072,2048,0,5.652459916,18
nucal egg ranch,mg,south,33.07252272,-116.776892,1731,1117,3072,2048,1,13.0238855,14
nucal egg ranch,bm,south,33.07252272,-116.776892,1067,1127,3072,2048,1,10.14402555,12
lake southerland - channel opening,bm,south,33.105561,-116.780867,900,1200,3072,2048,0,6.555269188,20
point in lake Sutherland,bm,east,33.11648335,-116.7761501,3018,1230,3072,2048,0,5.672844401,26
tree on road - off mesa grande rd,mg,south,33.15919026,-116.7198434,138,1160,3072,2048,0,5.031231518,18
tree on road - off mesa grande rd,mg,east,33.15919026,-116.7198434,2674,1050,3072,2048,0,5.031231518,16
tiny trees,bm,west,33.16113026,-116.8121351,2043,1391,3072,2048,0,0.399464357,24
crossroads,mg,south,33.16805606,-116.762014,1628,1270,3072,2048,0,2.316467919,22
sharp turn in trail,bm,north,33.16864443,-116.7972078,2808,1414,3072,2048,0,1.402095854,26
sharp turn in trail,bm,east,33.16864443,-116.7972078,321,1410,3072,2048,0,1.402095854,18
small crossroads,mg,south,33.17237393,-116.7658628,1978,1330,3072,2048,0,1.895805226,23
tree point,mg,east,33.1757671,-116.7300817,2290,1040,3072,2048,0,3.196300651,15
small tree in loop,mg,west,33.17841247,-116.7801452,555,1382,3072,2048,0,2.153463977,19
tree near southwest road,mg,west,33.19773819,-116.7830293,2242,1290,3072,2048,0,2.303921355,24
path intersection,mg,north,33.20334039,-116.7686941,817,1207,3072,2048,0,1.775497496,20
Harrah's Hotel & Casino,bh,south,33.26777,-116.95545,2175,1300,3072,2048,0,8.157059495,24
love valley clearing,mg,north,33.30066204,-116.760773,1690,1080,3072,2048,0,12.43210374,13
mt palmar south side area east end,hp,south,33.31316652,-116.818171,656,751,2048,1536,0,5.791271131,11
mt palmar south side area west end,hp,south,33.33357673,-116.8565688,1707,763,2048,1536,0,3.780189529,16
bh unknown,bh,west,33.334803,-116.919959,2055,1835,3072,2048,0,0.061739536,42
Palomar Observatory right,hp,west,33.34838843,-116.8596944,161,693,2048,1536,1,2.720259477,9
Palomar Observatory right,bh,east,33.34838843,-116.8596944,1044,1011,3072,2048,1,5.747042985,12
doane valley natural preserve clearning northeast,bh,north,33.35444233,-116.9107217,2110,1250,3072,2048,0,2.343849284,24
Palomar Observatory left,bh,east,33.35626174,-116.8648115,753,1005,3072,2048,0,5.606362822,11
Palomar Observatory,hp,west,33.35629,-116.8648,620,665,2048,1536,0,2.757754096,11
right bush,hp,east,33.36219066,-116.8348973,1825,1125,2048,1536,0,0.153469998,35
left bush,hp,north,33.36347435,-116.8364847,412,1203,2048,1536,0,0.056384859,28
red mountain water resevoir - south tip,rm,south,33.39434215,-117.1855564,630,1420,3072,2048,0,0.852208396,19
red mountain resevoir - north tip,rm,east,33.39826,-117.18636,2480,1665,3072,2048,0,0.476941774,34
red mountain water storage large,rm,east,33.40000899,-117.1864264,1890,1680,3072,2048,0,0.388248835,32
microwave tower,rm,south,33.400219,-117.190897,2420,1730,3072,2048,0,0.074376843,34
red mountain water storage small,rm,west,33.400324,-117.192417,1100,1790,3072,2048,0,0.185660284,39
red mountain north access road intersection,rm,north,33.40370301,-117.1877489,2690,1422,3072,2048,0,0.411605889,25
target - san clemente,sclm,north,33.46403242,-117.6055052,642,1183,3072,2048,1,3.704763284,19
target - san clemente,sjh,south,33.46403242,-117.6055052,1681,1152,3072,2048,1,4.332222035,22
E in hill,sjh,south,33.47968683,-117.6093276,1971,1153,3072,2048,0,2.649213824,23
microwave tower east - san juan hills,sjh,east,33.50264178,-117.6017928,2005,1215,3072,2048,0,0.127293649,23
Rancho Mission Viejo,sjh,west,33.51973819,-117.6310328,2553,1189,3072,2048,0,3.191585056,25
corner of paths,signal,south,33.60116173,-117.8154609,2800,1180,3072,2048,0,0.620276293,26
handhole,signal,south,33.60500187,-117.8111833,2873,1433,3072,2048,0,0.037893809,26
microwave tower west - signal peak,signal,west,33.60554784,-117.8113901,2623,1427,3072,2048,0,0.058419225,25
lake mission viejo - center,stgo,south,33.6310585,-117.6436993,3005,1200,3072,2048,0,13.49801965,26
lake mission viejo - center,stgo,west,33.6310585,-117.6436993,630,1270,3072,2048,0,13.49801965,19
office of technology alliances,signal,north,33.65064145,-117.8380223,795,1161,3072,2048,0,5.639714666,20
southeast corner of tustin blimp hangar #2,signal,north,33.70234758,-117.822333,1412,1105,3072,2048,0,10.8503979,13
communication tower - south far,stgo,south,33.70971889,-117.5349005,2345,1311,3072,2048,0,0.177210674,24
communication tower - southeast,stgo,east,33.71083777,-117.5334783,2555,1733,3072,2048,0,0.069667049,34
communication tower - east far,stgo,east,33.71154823,-117.5310809,1415,1290,3072,2048,0,0.28373833,22
communication tower - east near,stgo,east,33.7115553,-117.5331211,915,1400,3072,2048,0,0.101310077,20
communications tower - east,stgo,north,33.71184523,-117.5336569,2685,1605,3072,2048,0,0.085974593,34
West side of Frank R. Bowerman landfill,signal,north,33.72720048,-117.7086035,2386,1068,3072,2048,0,16.53864303,16
lake matthews - southwest tip,stgo,north,33.82992523,-117.4569443,2620,1210,3072,2048,0,15.0082055,25
69bravo building - lower,69bravo,east,34.07293223,-118.6257264,2565,1655,3072,2048,0,0.272388625,34
69bravo building - lower,69bravo,south,34.07293223,-118.6257264,210,1640,3072,2048,0,0.272388625,27
cylinder building - middle,69bravo,east,34.07434594,-118.6258528,1600,1470,3072,2048,0,0.187216587,31
cylinder building - close,69bravo,east,34.07437057,-118.6266663,1741,1613,3072,2048,0,0.113359335,32
cylinder building - far,69bravo,east,34.07462076,-118.6251,1371,1433,3072,2048,0,0.253832066,22
69braco helipad,69bravo,north,34.07506251,-118.6275065,2385,1343,3072,2048,0,0.057676438,25
blue building,69bravo,west,34.07545211,-118.6287551,2700,1210,3072,2048,0,0.123182168,25
69bravo circle building,69bravo,north,34.07823337,-118.6289516,933,1061,3072,2048,0,0.412968046,11
kwhy tower,wilson,south,34.21279121,-118.0624802,1943,1290,3072,2048,0,1.348750328,23
tower south,wilson,west,34.2238728,-118.0631837,1203,1233,3072,2048,0,0.42281704,21
observatory tower,wilson,south,34.224021,-118.0585861,1135,1995,3072,2048,0,0.053509502,39
small observatory building,wilson,east,34.22426202,-118.0578438,2160,1850,3072,2048,0,0.078495734,42
center tower,wilson,west,34.22545982,-118.0653675,1790,1195,3072,2048,0,0.626969573,23
chara array,wilson,north,34.22587356,-118.057203,2805,1480,3072,2048,0,0.202457627,35
chara array,wilson,east,34.22587356,-118.057203,190,1375,3072,2048,0,0.202457627,18
grey building,wilson,north,34.22634243,-118.0589444,1360,1520,3072,2048,0,0.206730042,30
red white tower - north,wilson,west,34.23191981,-118.0713233,2462,1100,3072,2048,0,1.427869574,16
santa ynez reservoir,dwpgm,south,34.07207823,-118.5679001,2738,1321,3072,2048,1,2.375986078,26
santa ynez reservoir,dwpgm,west,34.07207823,-118.5679001,220,1333,3072,2048,1,2.375986078,18
santa monica pier,dwpgm,south,34.00756607,-118.4997572,565,1145,3072,2048,1,9.860775376,19
santa monica pier,69bravo,east,34.00756607,-118.4997572,2266,1173,3072,2048,1,13.96154905,24
palomar medical center,ch,east,33.12227141,-117.1214827,819,1204,3072,2048,1,3.204818492,20
palomar medical center,rdd,north,33.12227141,-117.1214827,1516,1064,3072,2048,1,3.162336385,13
veritiv distribution warehouse,ch,east,33.10810753,-117.1155551,1665,1208,3072,2048,1,3.495206124,22
veritiv distribution warehouse,rdd,north,33.10810753,-117.1155551,2078,1140,3072,2048,1,1.667744088,24
mt laguna water tower,mlo,north,32.87597465,-116.4149882,1966,1055,3072,2048,1,4.177608471,14
left observatory,mlo,north,32.84083042,-116.4270603,880,1290,3072,2048,0,0.1382754,20
tree cluster end,mg,west,33.1820958,-116.7813144,880,1388,3072,2048,1,2.063994608,20
tree cluster end,bm,north,33.1820958,-116.7813144,2800,1195,3072,2048,1,3.505396399,26
